Play,Type,Bnt,Fl,Loc,B,R1,Count,Probability,New Outs,Runs
Triple,Grounder,-,-,3,3rd,Score,3,  0.02%,1,1
Fielder's choice,Grounder,-,-,5,1st,2nd,3,  0.02%,1,0
Double,Liner,-,-,9LS,2nd,Score,3,  0.02%,1,1
Generic out,Liner,-,-,56D,Out,1st,3,  0.02%,2,0
Generic out,Liner,-,-,1,Out,Out,3,  0.02%,3,0
Generic out,Fly,-,-,6MD,Out,1st,3,  0.02%,2,0
Triple,Liner,-,-,8XD,3rd,Score,3,  0.02%,1,1
Generic out,Liner,-,-,3,Out,1st,3,  0.02%,2,0
Fielder's choice,Grounder,-,-,1S,1st,2nd,3,  0.02%,1,0
Single,Fly,-,-,78,1st,2nd,3,  0.02%,1,0
Double,Fly,-,-,7L,2nd,3rd,3,  0.02%,1,0
Single,Liner,-,-,89,2nd,3rd,3,  0.02%,1,0
Generic out,Fly,-,-,4MD,Out,1st,3,  0.02%,2,0
Double,Fly,-,-,7LD,2nd,Score,3,  0.02%,1,1
Single,Grounder,Y,-,5S,1st,2nd,3,  0.02%,1,0
Single,Liner,-,-,5D,1st,2nd,3,  0.02%,1,0
Fielder's choice,Grounder,-,-,4,1st,3rd,3,  0.02%,1,0
Single,Liner,-,-,78XD,1st,3rd,3,  0.02%,1,0
Triple,Liner,-,-,89XD,3rd,Score,3,  0.02%,1,1
Double,Liner,-,-,7LS,2nd,Score,3,  0.02%,1,1
Generic out,Pop-up,-,-,3S,Out,1st,3,  0.02%,2,0
Double,Liner,-,-,7S,2nd,3rd,3,  0.02%,1,0
Generic out,Grounder,Y,-,56S,Out,2nd,3,  0.02%,2,0
Double,Liner,-,-,8D,2nd,Score,3,  0.02%,1,1
Single,Liner,-,-,34D,1st,2nd,3,  0.02%,1,0
Double,Liner,-,-,78,2nd,3rd,3,  0.02%,1,0
Fielder's choice,Grounder,-,-,56S,1st,2nd,3,  0.02%,1,0
Generic out,Grounder,-,-,2,Out,1st,3,  0.02%,2,0
Generic out,Grounder,Y,-,23,Out,2nd,3,  0.02%,2,0
Generic out,Fly,-,-,9D,Out,2nd,3,  0.02%,2,0
Double,Fly,-,-,9LS,2nd,3rd,3,  0.02%,1,0
Generic out,Grounder,-,-,2,Out,Out,3,  0.02%,3,0
Generic out,Grounder,Y,-,2,Out,2nd,3,  0.02%,2,0
Generic out,Grounder,-,-,15,Out,2nd,3,  0.02%,2,0
Single,Grounder,-,-,4MS,1st,2nd,3,  0.02%,1,0
Single,Fly,-,-,89S,1st,3rd,3,  0.02%,1,0
Generic out,Pop-up,-,-,5S,Out,1st,3,  0.02%,2,0
